commit	val_bpb	memory_gb	status	description
exp001	3.979530	6.4	keep	random nas d=6 width=384 heads=4 act=GELU attn=windowed
exp002	3.994410	2.3	discard	random nas d=5 width=160 heads=5 act=ReluSquared attn=full
exp003	3.979607	3.8	discard	random nas d=5 width=288 heads=6 act=ReLU attn=full
exp004	3.982995	7.5	discard	random nas d=8 width=384 heads=6 act=ReLU attn=windowed
exp005	3.982667	4.8	discard	random nas d=6 width=288 heads=2 act=GELU attn=windowed
exp006	3.983851	5.2	discard	random nas d=5 width=352 heads=8 act=GELU attn=full
exp007	3.973551	6.4	keep	random nas d=8 width=288 heads=3 act=ReluSquared attn=windowed
exp008	4.003334	2.0	discard	random nas d=3 width=224 heads=2 act=ReluSquared attn=full
exp009	4.000616	1.8	discard	random nas d=4 width=160 heads=5 act=ReluSquared attn=windowed
exp010	3.982498	11.0	discard	random nas d=8 width=480 heads=4 act=ReluSquared attn=full
exp011	4.023269	1.1	discard	random nas d=3 width=128 heads=4 act=GELU attn=full
exp012	3.996713	9.1	discard	random nas d=8 width=416 heads=2 act=GELU attn=windowed
exp013	3.988266	8.7	discard	random nas d=7 width=448 heads=4 act=ReluSquared attn=windowed
exp014	3.979712	2.8	discard	random nas d=6 width=192 heads=4 act=ReLU attn=windowed
exp015	3.986717	5.0	discard	random nas d=7 width=288 heads=2 act=ReLU attn=windowed
exp016	3.992879	2.8	discard	random nas d=3 width=352 heads=2 act=ReLU attn=full
exp017	3.987004	3.0	discard	random nas d=3 width=352 heads=4 act=SiLU attn=windowed
exp018	3.994982	3.7	discard	random nas d=3 width=448 heads=2 act=ReluSquared attn=windowed
exp019	3.969839	5.8	keep	random nas d=7 width=288 heads=3 act=ReluSquared attn=full
exp020	3.979587	6.5	discard	random nas d=8 width=320 heads=4 act=ReLU attn=full
exp021	3.984352	2.4	discard	random nas d=6 width=160 heads=5 act=ReLU attn=windowed
exp022	3.978806	2.9	discard	random nas d=5 width=224 heads=4 act=ReLU attn=full
exp023	3.980156	3.2	discard	random nas d=5 width=224 heads=7 act=GELU attn=full
exp024	3.988350	2.5	discard	random nas d=4 width=224 heads=2 act=SiLU attn=windowed
exp025	3.980229	3.2	discard	random nas d=7 width=160 heads=5 act=SiLU attn=full
exp026	3.990344	5.3	discard	random nas d=4 width=480 heads=4 act=ReluSquared attn=windowed
exp027	3.991007	9.6	discard	random nas d=7 width=480 heads=2 act=GELU attn=full
exp028	3.999099	2.0	discard	random nas d=3 width=224 heads=4 act=SiLU attn=full
exp029	4.011092	1.5	discard	random nas d=3 width=192 heads=3 act=ReLU attn=windowed
exp030	3.982837	4.5	discard	random nas d=5 width=320 heads=5 act=GELU attn=windowed
exp031	3.978352	4.9	discard	random nas d=7 width=256 heads=8 act=SiLU attn=windowed
exp032	3.981100	8.5	discard	random nas d=6 width=512 heads=8 act=ReluSquared attn=windowed
exp033	3.993029	10.6	discard	random nas d=8 width=480 heads=2 act=ReluSquared attn=windowed
exp034	3.996681	2.5	discard	random nas d=7 width=128 heads=8 act=SiLU attn=windowed
exp035	3.979451	8.0	discard	random nas d=6 width=480 heads=5 act=ReluSquared attn=windowed
exp036	3.990346	5.7	discard	random nas d=5 width=416 heads=2 act=GELU attn=windowed
exp037	3.991255	9.3	discard	random nas d=7 width=480 heads=3 act=ReluSquared attn=windowed
exp038	3.982754	4.5	discard	random nas d=3 width=512 heads=8 act=SiLU attn=full
exp039	3.981168	5.6	discard	random nas d=5 width=448 heads=7 act=ReLU attn=windowed
exp040	3.979772	7.3	discard	random nas d=5 width=512 heads=4 act=GELU attn=full
exp041	3.981761	5.9	discard	random nas d=6 width=352 heads=2 act=ReluSquared attn=windowed
exp042	3.993290	11.3	discard	random nas d=8 width=512 heads=4 act=SiLU attn=windowed
exp043	3.979799	2.2	discard	random nas d=5 width=160 heads=4 act=ReluSquared attn=windowed
exp044	3.985316	6.1	discard	random nas d=5 width=448 heads=2 act=SiLU attn=full
exp045	3.984129	7.4	discard	random nas d=6 width=480 heads=4 act=ReLU attn=full
exp046	3.998300	2.2	discard	random nas d=4 width=192 heads=4 act=GELU attn=full
exp047	4.012309	1.4	discard	random nas d=3 width=160 heads=4 act=SiLU attn=windowed
exp048	3.979788	3.5	discard	random nas d=4 width=320 heads=4 act=GELU attn=windowed
exp049	3.995566	12.2	discard	random nas d=7 width=416 heads=8 act=ReLU attn=windowed
exp050	3.989618	4.2	discard	random nas d=3 width=480 heads=3 act=GELU attn=full
exp051	3.978961	7.7	discard	random nas d=6 width=448 heads=7 act=GELU attn=full
