commit	val_bpb	memory_gb	status	description
exp001	0.601949	4.5	keep	random nas d=3 width=512 heads=8 act=GELU attn=full
exp002	0.596458	6.2	keep	random nas d=7 width=320 heads=8 act=GELU attn=windowed
exp003	0.599294	6.6	discard	random nas d=8 width=288 heads=6 act=ReluSquared attn=full
exp004	0.602423	2.5	discard	random nas d=7 width=128 heads=2 act=ReluSquared attn=full
exp005	0.605028	9.7	discard	random nas d=7 width=480 heads=6 act=GELU attn=full
exp006	0.612423	2.2	discard	random nas d=3 width=256 heads=4 act=GELU attn=windowed
exp007	0.624154	1.5	discard	random nas d=3 width=192 heads=8 act=ReLU attn=full
exp008	0.606283	4.6	discard	random nas d=5 width=224 heads=8 act=GELU attn=windowed
exp009	0.630666	4.2	discard	random nas d=4 width=416 heads=2 act=ReLU attn=windowed
exp010	0.600491	2.9	discard	random nas d=6 width=192 heads=8 act=ReLU attn=windowed
exp011	0.602413	4.0	discard	random nas d=7 width=224 heads=2 act=ReLU attn=full
exp012	0.606576	8.3	discard	random nas d=7 width=416 heads=4 act=ReluSquared attn=full
exp013	0.606408	10.2	discard	random nas d=8 width=448 heads=8 act=ReluSquared attn=full
exp014	0.596202	3.7	keep	random nas d=8 width=192 heads=3 act=ReLU attn=windowed
exp015	0.594798	5.2	keep	random nas d=8 width=256 heads=4 act=ReLU attn=full
exp016	0.617042	5.9	discard	random nas d=4 width=512 heads=2 act=ReluSquared attn=full
exp017	0.601632	6.8	discard	random nas d=7 width=384 heads=4 act=ReLU attn=full
exp018	0.594897	5.6	discard	random nas d=7 width=288 heads=6 act=SiLU attn=windowed
exp019	0.599947	7.2	discard	random nas d=5 width=512 heads=8 act=SiLU attn=windowed
exp020	0.610295	1.8	discard	random nas d=4 width=160 heads=4 act=GELU attn=full
exp021	0.595341	5.5	discard	random nas d=5 width=384 heads=8 act=SiLU attn=full
exp022	0.645352	1.3	discard	random nas d=3 width=160 heads=2 act=ReLU attn=full
exp023	0.610111	9.4	discard	random nas d=7 width=416 heads=8 act=ReLU attn=windowed
exp024	0.618292	1.8	discard	random nas d=3 width=224 heads=4 act=ReLU attn=full
exp025	0.605947	1.9	discard	random nas d=4 width=192 heads=6 act=ReLU attn=windowed
exp026	0.601798	6.8	discard	random nas d=5 width=480 heads=6 act=SiLU attn=windowed
exp027	0.605901	3.8	discard	random nas d=8 width=160 heads=8 act=ReluSquared attn=full
exp028	0.611521	7.8	discard	random nas d=8 width=352 heads=2 act=GELU attn=windowed
exp029	0.602639	7.0	discard	random nas d=5 width=480 heads=8 act=GELU attn=full
exp030	0.598248	8.4	discard	random nas d=8 width=384 heads=6 act=SiLU attn=windowed
exp031	0.595944	3.3	discard	random nas d=6 width=192 heads=6 act=GELU attn=full
exp032	0.595120	3.3	discard	random nas d=7 width=192 heads=4 act=ReLU attn=windowed
exp033	0.606315	7.6	discard	random nas d=6 width=480 heads=8 act=ReLU attn=full
exp034	0.612644	3.6	discard	random nas d=5 width=288 heads=2 act=ReLU attn=windowed
exp035	0.640940	3.5	discard	random nas d=3 width=416 heads=2 act=ReluSquared attn=full
exp036	0.598917	3.8	discard	random nas d=6 width=224 heads=4 act=ReluSquared attn=full
exp037	0.601036	6.6	discard	random nas d=7 width=352 heads=8 act=ReLU attn=full
exp038	0.613034	7.3	discard	random nas d=6 width=448 heads=2 act=ReluSquared attn=full
exp039	0.601922	3.3	discard	random nas d=7 width=192 heads=2 act=ReLU attn=windowed
exp040	0.609002	2.9	discard	random nas d=4 width=288 heads=3 act=ReLU attn=windowed
exp041	0.602206	3.2	discard	random nas d=7 width=160 heads=2 act=GELU attn=full
exp042	0.611455	9.9	discard	random nas d=7 width=512 heads=4 act=ReluSquared attn=windowed
exp043	0.610283	6.2	discard	random nas d=5 width=480 heads=3 act=ReLU attn=full
exp044	0.614606	5.3	discard	random nas d=7 width=160 heads=8 act=ReLU attn=windowed
exp045	0.642926	1.7	discard	random nas d=3 width=224 heads=2 act=ReLU attn=windowed
exp046	0.616558	2.0	discard	random nas d=3 width=224 heads=8 act=ReluSquared attn=full
exp047	0.608011	8.6	discard	random nas d=6 width=416 heads=8 act=SiLU attn=windowed
exp048	0.606547	9.0	discard	random nas d=7 width=448 heads=8 act=GELU attn=full
exp049	0.618285	3.3	discard	random nas d=3 width=384 heads=4 act=ReluSquared attn=full
exp050	0.607876	2.8	discard	random nas d=3 width=320 heads=8 act=SiLU attn=full
exp051	0.595968	3.3	discard	random nas d=5 width=256 heads=4 act=ReLU attn=full
exp052	0.609628	7.8	discard	random nas d=6 width=512 heads=2 act=ReLU attn=full
exp053	0.606261	9.9	discard	random nas d=8 width=448 heads=7 act=ReluSquared attn=windowed
exp054	0.608532	6.3	discard	random nas d=6 width=384 heads=3 act=ReluSquared attn=windowed
exp055	0.612241	2.8	discard	random nas d=8 width=128 heads=8 act=ReluSquared attn=windowed
exp056	0.611609	6.3	discard	random nas d=6 width=384 heads=2 act=ReluSquared attn=windowed
exp057	0.600047	5.2	discard	random nas d=7 width=288 heads=4 act=ReLU attn=full
exp058	0.599726	5.9	discard	random nas d=6 width=384 heads=4 act=ReLU attn=full
exp059	0.613637	7.2	discard	random nas d=7 width=416 heads=2 act=ReLU attn=full
exp060	0.614457	2.5	discard	random nas d=4 width=224 heads=2 act=SiLU attn=windowed
exp061	0.598195	3.2	discard	random nas d=6 width=192 heads=2 act=SiLU attn=windowed
exp062	0.611586	4.2	discard	random nas d=3 width=480 heads=6 act=ReluSquared attn=full
exp063	0.595580	8.3	discard	random nas d=6 width=480 heads=6 act=GELU attn=full
exp064	0.606075	4.1	discard	random nas d=5 width=320 heads=2 act=ReLU attn=full
exp065	0.601277	3.5	discard	random nas d=4 width=288 heads=8 act=SiLU attn=full
exp066	0.614491	4.2	discard	random nas d=3 width=480 heads=5 act=SiLU attn=full
exp067	0.651303	1.1	discard	random nas d=3 width=128 heads=8 act=GELU attn=windowed
exp068	0.607278	4.9	discard	random nas d=5 width=384 heads=2 act=ReLU attn=full
exp069	0.604967	10.2	discard	random nas d=8 width=448 heads=4 act=SiLU attn=full
exp070	0.595509	4.2	discard	random nas d=4 width=384 heads=4 act=GELU attn=windowed
exp071	0.599671	4.8	discard	random nas d=5 width=352 heads=8 act=ReLU attn=full
exp072	0.616725	9.7	discard	random nas d=8 width=448 heads=2 act=GELU attn=full
exp073	0.598477	2.9	discard	random nas d=7 width=160 heads=4 act=ReLU attn=full
exp074	0.611042	9.2	discard	random nas d=8 width=416 heads=4 act=GELU attn=windowed
exp075	0.604115	2.7	discard	random nas d=6 width=160 heads=4 act=ReluSquared attn=full
exp076	0.601134	8.8	discard	random nas d=6 width=512 heads=8 act=SiLU attn=full
exp077	0.596469	2.7	discard	random nas d=5 width=192 heads=6 act=GELU attn=full
exp078	0.609244	3.9	discard	random nas d=4 width=224 heads=8 act=SiLU attn=windowed
exp079	0.603123	2.9	discard	random nas d=6 width=160 heads=8 act=SiLU attn=full
exp080	0.604151	5.5	discard	random nas d=4 width=480 heads=5 act=GELU attn=full
exp081	0.595511	4.9	discard	random nas d=6 width=288 heads=6 act=SiLU attn=full
exp082	0.618286	4.2	discard	random nas d=4 width=384 heads=2 act=SiLU attn=windowed
exp083	0.605373	7.8	discard	random nas d=7 width=448 heads=7 act=ReLU attn=windowed
exp084	0.610190	9.3	discard	random nas d=7 width=480 heads=4 act=SiLU attn=windowed
exp085	0.612046	8.0	discard	random nas d=6 width=480 heads=3 act=ReluSquared attn=windowed
exp086	0.595234	4.2	discard	random nas d=8 width=192 heads=2 act=GELU attn=windowed
exp087	0.611535	5.4	discard	random nas d=4 width=480 heads=4 act=ReluSquared attn=windowed
exp088	0.592068	7.8	keep	random nas d=8 width=352 heads=4 act=SiLU attn=windowed
exp089	0.617450	1.7	discard	random nas d=3 width=192 heads=6 act=GELU attn=full
exp090	0.600563	4.2	discard	random nas d=6 width=256 heads=2 act=SiLU attn=windowed
exp091	0.593749	4.5	discard	random nas d=7 width=256 heads=4 act=ReLU attn=full
exp092	0.592849	4.5	discard	random nas d=7 width=224 heads=4 act=SiLU attn=full
exp093	0.590598	3.7	keep	random nas d=5 width=288 heads=4 act=ReLU attn=full
exp094	0.596872	5.1	discard	random nas d=8 width=224 heads=4 act=ReluSquared attn=full
exp095	0.598899	3.4	discard	random nas d=7 width=192 heads=8 act=ReLU attn=full
exp096	0.625565	1.4	discard	random nas d=3 width=160 heads=5 act=SiLU attn=full
exp097	0.595038	3.1	discard	random nas d=7 width=160 heads=5 act=GELU attn=windowed
exp098	0.606683	2.1	discard	random nas d=4 width=192 heads=4 act=ReluSquared attn=windowed
exp099	0.606746	6.2	discard	random nas d=5 width=480 heads=4 act=ReLU attn=full
exp100	0.630874	2.7	discard	random nas d=3 width=352 heads=2 act=ReLU attn=windowed
